trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2021-11-24,2021-11-23,buy,XLY.US,103.5749969,0.003218279924,0.3333333333,entry,1,1,,,,
2021-11-24,2021-11-23,buy,KRE.US,75.12000275,0.004437344531,0.3333333333,entry,2,2,,,,
2021-11-24,2021-11-23,buy,KBE.US,57.68999863,0.005778009036,0.3333333333,entry,3,5,,,,
2021-11-30,2021-11-29,sell,KRE.US,70.52999878,0.004437344531,0.3129659043,hysteresis,22,23,-0.061102287,6,-0.06416399785,0.008519693374
2021-11-30,2021-11-29,sell,KBE.US,54.24000168,0.005778009036,0.3133992198,hysteresis,26,24,-0.05980234062,6,-0.05980234062,0.007453636946
2021-11-30,2021-11-29,buy,DTCR.US,17.89999962,0.01749623289,0.3131825621,entry,1,2,,,,
2021-11-30,2021-11-29,buy,SMH.US,155.0650024,0.002019685662,0.3131825621,entry,2,1,,,,
2021-12-08,2021-12-07,sell,DTCR.US,17.97999954,0.01749623289,0.3145822594,hysteresis,31,25,0.004469269576,8,-0.02681561746,0.01776540783
2021-12-08,2021-12-07,buy,XSD.US,248,0.001268476852,0.3145822594,entry,1,1,,,,
2021-12-09,2021-12-08,sell,XLY.US,103.1600037,0.003218279924,0.3319977688,hysteresis,24,24,-0.004006693684,15,-0.04610180099,0.01583393133
2021-12-09,2021-12-08,buy,XHB.US,86.04000092,0.003858644412,0.3319977688,entry,1,1,,,,
2021-12-15,2021-12-14,sell,SMH.US,149.0800018,0.002019685662,0.3010947421,hysteresis,27,27,-0.03859672083,15,-0.06326377586,0.01754103878
2021-12-15,2021-12-14,buy,XLP.US,75.22000122,0.004002854789,0.3010947421,entry,1,1,,,,
2021-12-16,2021-12-15,sell,XSD.US,243.8699951,0.001268476852,0.3093434438,hysteresis,21,21,-0.0166532455,8,-0.07294353362,0.008064516129
2021-12-16,2021-12-15,buy,XLU.US,35.32500076,0.008757068283,0.3093434438,entry,2,2,,,,
2021-12-21,2021-12-20,sell,XHB.US,80.34999847,0.003858644412,0.3100420726,weak,33,33,-0.06613205928,12,-0.08635518626,0.006624822045
2021-12-21,2021-12-20,buy,DTCR.US,18.20000076,0.017035278,0.3100420726,entry,1,2,,,,
2021-12-28,2021-12-27,sell,XLP.US,75.95999908,0.004002854789,0.3040568461,hysteresis,33,26,0.009837780534,13,-0.01582029277,0.02073913232
2021-12-28,2021-12-27,sell,XLU.US,35.08000183,0.008757068283,0.3071979714,hysteresis,39,32,-0.006935567632,12,-0.03411186992,0.01217269061
2021-12-28,2021-12-27,buy,SMH.US,158.9149933,0.001923213175,0.3056274088,entry,1,1,,,,
2021-12-28,2021-12-27,buy,XSD.US,248.8800049,0.001228011101,0.3056274088,entry,2,2,,,,
2022-01-05,2022-01-04,sell,DTCR.US,17.95999908,0.017035278,0.3059535773,weak,38,38,-0.01318690486,15,-0.0123626578,0.0230769263
2022-01-05,2022-01-04,buy,XLE.US,29.88999939,0.01023598473,0.3059535773,entry,1,1,,,,
2022-01-06,2022-01-05,sell,XSD.US,231.4700012,0.001228011101,0.284247731,weak,34,33,-0.06995340453,9,-0.06947126409,0.007794930904
2022-01-06,2022-01-05,buy,XES.US,55.5,0.005121580739,0.284247731,entry,2,2,,,,
2022-01-11,2022-01-10,sell,SMH.US,148.2350006,0.001923213175,0.2850875061,hysteresis,27,29,-0.06720569567,14,-0.09470464354,0.002705899083
2022-01-11,2022-01-10,buy,KRE.US,77.43000031,0.003681874015,0.2850875061,entry,1,1,,,,
2022-01-25,2022-01-24,sell,KRE.US,71.91999817,0.003681874015,0.2648003725,hysteresis,26,26,-0.071161076,14,-0.1007361878,0.01782251386
2022-01-25,2022-01-24,buy,XLP.US,75.05000305,0.003528319276,0.2648003725,entry,1,2,,,,
2022-02-09,2022-02-08,sell,XES.US,59.04999924,0.005121580739,0.3024293387,weak,33,33,0.06396395022,34,-0.05711708413,0.1099098824
2022-02-09,2022-02-08,buy,XME.US,46.52999878,0.006499663586,0.3024293387,entry,1,1,,,,
2022-02-10,2022-02-09,sell,XLP.US,75.91999817,0.003528319276,0.267869993,weak,37,37,0.01159220629,16,-0.01718855247,0.02878075876
