trade_date,equity,cash,cash_ratio,n_positions,daily_return,drawdown,turnover,positions
2021-11-24,1.005042709,1.110223025e-16,1.104652583e-16,3,0.005042709303,0,0.5,KBE.US;KRE.US;XLY.US
2021-11-26,0.9637401403,1.110223025e-16,1.151994172e-16,3,-0.04109533715,-0.04109533715,0,KBE.US;KRE.US;XLY.US
2021-11-29,0.9696222823,1.110223025e-16,1.145005684e-16,3,0.006103452335,-0.03524270824,0,KBE.US;KRE.US;XLY.US
2021-11-30,0.9488314818,0,0,3,-0.0214421645,-0.05592919279,0.6459887892,DTCR.US;SMH.US;XLY.US
2021-12-01,0.9386363209,0,0,3,-0.0107449649,-0.06607320048,0,DTCR.US;SMH.US;XLY.US
2021-12-02,0.9451034671,0,0,3,0.006889938125,-0.05963850262,0,DTCR.US;SMH.US;XLY.US
2021-12-03,0.9313880552,0,0,3,-0.01451207441,-0.07328509864,0,DTCR.US;SMH.US;XLY.US
2021-12-06,0.9352777899,0,0,3,0.004176277235,-0.0694148803,0,DTCR.US;SMH.US;XLY.US
2021-12-07,0.9636212458,0,0,3,0.03030485289,-0.04121363514,0,DTCR.US;SMH.US;XLY.US
2021-12-08,0.9652952693,0,0,3,0.001737221508,-0.03954801085,0.3264584096,SMH.US;XLY.US;XSD.US
2021-12-09,0.9455024938,0,0,3,-0.0205043743,-0.05924147792,0.3439339022,SMH.US;XHB.US;XSD.US
2021-12-10,0.9510553497,0,0,3,0.005872915073,-0.05371648302,0,SMH.US;XHB.US;XSD.US
2021-12-13,0.9287285136,0,0,3,-0.02347585354,-0.07593129628,0,SMH.US;XHB.US;XSD.US
2021-12-14,0.919871817,0,0,3,-0.00953636762,-0.08474355514,0,SMH.US;XHB.US;XSD.US
2021-12-15,0.938448879,0,0,3,0.02019527247,-0.06625970186,0.3273224992,XHB.US;XLP.US;XSD.US
2021-12-16,0.9396814517,0,0,3,0.001313414831,-0.0650333135,0.3296327064,XHB.US;XLP.US;XLU.US
2021-12-17,0.9222668814,0,0,3,-0.01853241892,-0.08236050782,0,XHB.US;XLP.US;XLU.US
2021-12-20,0.9105636806,0,0,3,-0.01268960327,-0.09400498892,0,XHB.US;XLP.US;XLU.US
2021-12-21,0.9113338768,0,0,3,0.0008458455088,-0.09323865711,0.340494662,DTCR.US;XLP.US;XLU.US
2021-12-22,0.9155509046,0,0,3,0.0046273138,-0.08904278783,0,DTCR.US;XLP.US;XLU.US
2021-12-23,0.9172096955,0,0,3,0.001811795351,-0.08739231979,0,DTCR.US;XLP.US;XLU.US
2021-12-27,0.9263298533,0,0,3,0.00994337265,-0.07831792154,0,DTCR.US;XLP.US;XLU.US
2021-12-28,0.9180672137,0,0,3,-0.008919759514,-0.08653910403,0.6598673414,DTCR.US;SMH.US;XSD.US
2021-12-29,0.9185610371,0,0,3,0.000537894622,-0.08604775833,0,DTCR.US;SMH.US;XSD.US
2021-12-30,0.9119098518,0,0,3,-0.007240874711,-0.092665572,0,DTCR.US;SMH.US;XSD.US
2021-12-31,0.9108483977,0,0,3,-0.001163990083,-0.09372170028,0,DTCR.US;SMH.US;XSD.US
2022-01-03,0.9212641626,0,0,3,0.01143523432,-0.08335819556,0,DTCR.US;SMH.US;XSD.US
2022-01-04,0.9097261241,0,0,3,-0.0125241369,-0.09483834301,0,DTCR.US;SMH.US;XSD.US
2022-01-05,0.8789645207,0,0,3,-0.03381413652,-0.1254456028,0.3363139402,SMH.US;XLE.US;XSD.US
2022-01-06,0.8909421796,0,0,3,0.0136270106,-0.1135280408,0.3233893113,SMH.US;XES.US;XLE.US
2022-01-07,0.8890544331,0,0,3,-0.002118820381,-0.1154063157,0,SMH.US;XES.US;XLE.US
2022-01-10,0.8886522754,0,0,3,-0.0004523432252,-0.1158064556,0,SMH.US;XES.US;XLE.US
2022-01-11,0.9100663531,0,0,3,0.02409725187,-0.09449982108,0.3208088406,KRE.US;XES.US;XLE.US
2022-01-12,0.9097635854,0,0,3,-0.0003326874945,-0.09480106967,0,KRE.US;XES.US;XLE.US
2022-01-13,0.9085390929,0,0,3,-0.001345945829,-0.09601941839,0,KRE.US;XES.US;XLE.US
2022-01-14,0.9303826654,0,0,3,0.02404252353,-0.07428544399,0,KRE.US;XES.US;XLE.US
2022-01-18,0.9197772008,0,0,3,-0.01139903511,-0.08483769671,0,KRE.US;XES.US;XLE.US
2022-01-19,0.9042621915,0,0,3,-0.01686822557,-0.1002748609,0,KRE.US;XES.US;XLE.US
2022-01-20,0.8873824155,0,0,3,-0.01866690447,-0.1170699441,0,KRE.US;XES.US;XLE.US
2022-01-21,0.8669107744,0,0,3,-0.02306969439,-0.1374388707,0,KRE.US;XES.US;XLE.US
2022-01-24,0.8798099632,0,0,3,0.01487948838,-0.1246044024,0,KRE.US;XES.US;XLE.US
2022-01-25,0.9043845847,0,0,3,0.02793173817,-0.1001530817,0.3009745099,XES.US;XLE.US;XLP.US
2022-01-26,0.9009397826,0,0,3,-0.003809001323,-0.1035805998,0,XES.US;XLE.US;XLP.US
2022-01-27,0.8991675303,0,0,3,-0.001967115122,-0.10534396,0,XES.US;XLE.US;XLP.US
2022-01-28,0.9016076159,0,0,3,0.002713716247,-0.1029161174,0,XES.US;XLE.US;XLP.US
2022-01-31,0.903398036,0,0,3,0.001985808552,-0.1011346805,0,XES.US;XLE.US;XLP.US
2022-02-01,0.93038943,0,0,3,0.02987763195,-0.07427871332,0,XES.US;XLE.US;XLP.US
2022-02-02,0.9300142867,0,0,3,-0.0004032110808,-0.0746519744,0,XES.US;XLE.US;XLP.US
2022-02-03,0.9211756415,0,0,3,-0.009503773544,-0.08344627249,0,XES.US;XLE.US;XLP.US
2022-02-04,0.9309152751,0,0,3,0.01057304729,-0.07375550658,0,XES.US;XLE.US;XLP.US
2022-02-07,0.9336595489,0,0,3,0.002947930723,-0.07102500198,0,XES.US;XLE.US;XLP.US
2022-02-08,0.9202965179,0,0,3,-0.01431253074,-0.08432098519,0,XES.US;XLE.US;XLP.US
2022-02-09,0.929484708,0,0,3,0.009983945341,-0.07517889596,0.3286216267,XLE.US;XLP.US;XME.US
2022-02-10,0.9269144601,0,0,3,-0.002765239572,-0.07773624787,0.2881919312,COPX.US;XLE.US;XME.US
2022-02-11,0.941439211,0,0,3,0.01567000137,-0.06328437362,0,COPX.US;XLE.US;XME.US
2022-02-14,0.9375026374,0,0,3,-0.004181442114,-0.06720119579,0,COPX.US;XLE.US;XME.US
2022-02-15,0.9409736587,0,0,3,0.003702412304,-0.06374759002,0,COPX.US;XLE.US;XME.US
2022-02-16,0.9479617818,0,0,3,0.007426481109,-0.05679452918,0,COPX.US;XLE.US;XME.US
2022-02-17,0.9420492844,0,0,3,-0.006237063066,-0.06267736119,0,COPX.US;XLE.US;XME.US
2022-02-18,0.9363832221,0,0,3,-0.006014613479,-0.06831499457,0,COPX.US;XLE.US;XME.US
2022-02-22,0.9277617927,0,0,3,-0.009207159135,-0.07689316667,0,COPX.US;XLE.US;XME.US
2022-02-23,0.9336238884,0,0,3,0.006318535304,-0.07106048356,0,COPX.US;XLE.US;XME.US
2022-02-24,0.9249207234,0,0,3,-0.009321917664,-0.07971998125,0,COPX.US;XLE.US;XME.US
2022-02-25,0.9627663722,0,0,3,0.04091772177,-0.04206421948,0,COPX.US;XLE.US;XME.US
2022-02-28,0.9816315365,0,0,3,0.0195947479,-0.02329370936,0,COPX.US;XLE.US;XME.US
2022-03-01,0.9938452387,0,0,3,0.01244224712,-0.01114128833,0,COPX.US;XLE.US;XME.US
2022-03-02,1.023615632,0,0,3,0.02995475767,0,0,COPX.US;XLE.US;XME.US
2022-03-03,1.04306934,0,0,3,0.01900489575,0,0,COPX.US;XLE.US;XME.US
2022-03-04,1.060029562,0,0,3,0.0162599175,0,0,COPX.US;XLE.US;XME.US
2022-03-07,1.046877673,0,0,3,-0.01240709592,-0.01240709592,0,COPX.US;XLE.US;XME.US
2022-03-08,1.046306641,0,0,3,-0.0005454621455,-0.01294579047,0,COPX.US;XLE.US;XME.US
2022-03-09,1.035876076,0,0,3,-0.009968936843,-0.02278567154,0,COPX.US;XLE.US;XME.US
2022-03-10,1.070754499,0,0,3,0.03367045881,0,0,COPX.US;XLE.US;XME.US
2022-03-11,1.052795634,0,0,3,-0.01677215962,-0.01677215962,0,COPX.US;XLE.US;XME.US
2022-03-14,1.00696459,0,0,3,-0.04353270731,-0.05957472941,0,COPX.US;XLE.US;XME.US
2022-03-15,0.9929044687,0,0,3,-0.01396287515,-0.07270577005,0,COPX.US;XLE.US;XME.US
2022-03-16,1.001023846,0,0,3,0.008177399951,-0.06512291426,0.2716271261,KIE.US;XLE.US;XME.US
2022-03-17,1.027089232,0,0,3,0.02603872628,-0.04077990572,0.3720042605,KIE.US;KRE.US;XME.US
