bucket,n_1d,mean_1d,win_rate_1d,n_3d,mean_3d,win_rate_3d,n_5d,mean_5d,win_rate_5d,n_10d,mean_10d,win_rate_10d
rank_1,1191,-0.0004299163265,0.4685138539,1189,0.0003789052219,0.5071488646,1187,0.00182554456,0.5231676495,1182,0.004898196774,0.5490693739
rank_2,1191,-0.000194016685,0.5020990764,1189,0.001391213574,0.5449957948,1187,0.002593837297,0.5408593092,1182,0.006966192812,0.5558375635
rank_3,1191,-6.006766568e-05,0.4979009236,1189,0.001486573181,0.5483599664,1187,0.002420831272,0.548441449,1182,0.005084007541,0.5676818951
rank_4_5,2382,2.6452313e-05,0.5205709488,2378,0.0005783214634,0.5281749369,2374,0.001812416215,0.5395956192,2364,0.005264958813,0.5520304569
rank_6_10,5955,9.557180231e-05,0.5128463476,5945,0.001339182925,0.529352397,5935,0.001990601554,0.5455770851,5910,0.005953714932,0.5553299492
