leg,n,mean,win_rate
t_close_to_next_open,1191,0.001279341683,0.5524769102
t1_open_to_t1_close,1191,-0.0004299163265,0.4685138539
t1_open_to_3d_close,1189,0.0003789052219,0.5071488646
t1_open_to_5d_close,1187,0.00182554456,0.5231676495
